Model,Sıra,Index,Skor,Metin
Lemmatized CBOW Win4 Dim100,4,2065,0.9869,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Lemmatized CBOW Win4 Dim100,5,1379,0.9866,"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile, 27/12/2015 tarihinde meydana gelen kazada davacıların murisi ...'in "
Lemmatized CBOW Win4 Dim300,1,0,0.9935,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized CBOW Win4 Dim300,2,14,0.9935,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized CBOW Win4 Dim300,3,1995,0.9934,"Dava dosyasına ibraz edilen 22/03/2011 tarihli ""Makbuz ve İbraname"" başlıklı belge İle, davacı ...'in kendi adına asalet"
Lemmatized CBOW Win4 Dim300,4,2068,0.9904,"Davalı .... beyanında, aracın kendisine ait olduğunu, olay anında yeğeni olan diğer davalının kullanmakta olduğunu belir"
Lemmatized CBOW Win4 Dim300,5,270,0.9903,GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile; 15/06/2009 tarihinde sürücü ...'nın sevk ve idaresindeki... plakalı 
Lemmatized Skipgram Win2 Dim100,1,0,0.9843,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win2 Dim100,2,14,0.9843,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win2 Dim100,3,2065,0.9840,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Lemmatized Skipgram Win2 Dim100,4,1379,0.9805,"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile, 27/12/2015 tarihinde meydana gelen kazada davacıların murisi ...'in "
Lemmatized Skipgram Win2 Dim100,5,1,0.9791,Davalı ... vekili cevap dilekçesi ile; 15/06/2014 tarihinde yaşanan kazanın yolda bulunan çukura su birikmesinden dolayı
Lemmatized Skipgram Win2 Dim300,1,0,0.9869,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win2 Dim300,2,14,0.9869,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win2 Dim300,3,2065,0.9866,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Lemmatized Skipgram Win2 Dim300,4,986,0.9812,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile 05/01/2016 tarihinde davacıların murisi ...'in sevk ve idaresindek
Lemmatized Skipgram Win2 Dim300,5,1014,0.9812,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile 05/01/2016 tarihinde davacıların murisi ...'in sevk ve idaresindek
Lemmatized Skipgram Win4 Dim100,1,0,0.9841,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win4 Dim100,2,14,0.9841,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win4 Dim100,3,2065,0.9812,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Lemmatized Skipgram Win4 Dim100,4,1014,0.9775,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile 05/01/2016 tarihinde davacıların murisi ...'in sevk ve idaresindek
Lemmatized Skipgram Win4 Dim100,5,986,0.9775,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile 05/01/2016 tarihinde davacıların murisi ...'in sevk ve idaresindek
Lemmatized Skipgram Win4 Dim300,1,0,0.9849,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win4 Dim300,2,14,0.9849,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized Skipgram Win4 Dim300,3,2065,0.9829,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Lemmatized Skipgram Win4 Dim300,4,1450,0.9779,"GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile; zorunlu mali mesuliyet sigortası bulunmayan ... aracın, 22/07/201"
Lemmatized Skipgram Win4 Dim300,5,1014,0.9773,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile 05/01/2016 tarihinde davacıların murisi ...'in sevk ve idaresindek
Stemmed CBOW Win2 Dim100,1,0,0.9949,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win2 Dim100,2,14,0.9949,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win2 Dim100,3,1379,0.9934,"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile, 27/12/2015 tarihinde meydana gelen kazada davacıların murisi ...'in "
Stemmed CBOW Win2 Dim100,4,2075,0.9927,"'ın velayeti gözetilerek ...'a ödenmesine, 2-Davacı yanın her 3 davacı açısından ayrı ayrı manevi tazminat istemli daval"
Stemmed CBOW Win2 Dim100,5,1236,0.9925,"Davacı iş sahibi; yazılı, sözlü ve e-mail yoluyla parke imali ve montajı konusunda davalıya siparişte bulunduklarını, da"
Stemmed CBOW Win2 Dim300,1,0,0.9963,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win2 Dim300,2,14,0.9963,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win2 Dim300,3,1236,0.9957,"Davacı iş sahibi; yazılı, sözlü ve e-mail yoluyla parke imali ve montajı konusunda davalıya siparişte bulunduklarını, da"
Stemmed CBOW Win2 Dim300,4,2075,0.9953,"'ın velayeti gözetilerek ...'a ödenmesine, 2-Davacı yanın her 3 davacı açısından ayrı ayrı manevi tazminat istemli daval"
Stemmed CBOW Win2 Dim300,5,976,0.9944,GEREĞİ DÜŞÜNÜLDÜ:Başvuranlar vekili Sigorta Tahkime Komisyonuna verdiği dilekçede özetle; davalı ... şirketi nezdinde tr
Stemmed CBOW Win4 Dim100,1,1379,0.9949,"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile, 27/12/2015 tarihinde meydana gelen kazada davacıların murisi ...'in "
Stemmed CBOW Win4 Dim100,2,0,0.9947,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win4 Dim100,3,14,0.9947,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win4 Dim100,4,2071,0.9936,"'ın % 100 oranında kusurlu olduğu, Adli Tıp Kurumu 3.İhtisas Kurulu'nun 30/09/2013 tarihli raporuna göre meydana gelen k"
Stemmed CBOW Win4 Dim100,5,1236,0.9923,"Davacı iş sahibi; yazılı, sözlü ve e-mail yoluyla parke imali ve montajı konusunda davalıya siparişte bulunduklarını, da"
Stemmed CBOW Win4 Dim300,1,0,0.9961,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win4 Dim300,2,14,0.9961,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed CBOW Win4 Dim300,3,1379,0.9955,"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile, 27/12/2015 tarihinde meydana gelen kazada davacıların murisi ...'in "
Stemmed CBOW Win4 Dim300,4,1236,0.9954,"Davacı iş sahibi; yazılı, sözlü ve e-mail yoluyla parke imali ve montajı konusunda davalıya siparişte bulunduklarını, da"
Stemmed CBOW Win4 Dim300,5,122,0.9938,"GEREĞİ DÜŞÜNÜLDÜ: Davacının maliki olduğu ... plâka sayılı araca dava dışı...'ın sürücüsü, ...'ın maliki davalı ...nin i"
Stemmed Skipgram Win2 Dim100,1,0,0.9939,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win2 Dim100,2,14,0.9939,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win2 Dim100,3,2065,0.9905,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Stemmed Skipgram Win2 Dim100,4,1319,0.9884,İstinaf nedenleri; davacıların müteselsil sorumluluk kuralları uyarınca daha önce kazaya karışan araç sürücüsü ve işlete
Stemmed Skipgram Win2 Dim100,5,1379,0.9856,"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile, 27/12/2015 tarihinde meydana gelen kazada davacıların murisi ...'in "
Stemmed Skipgram Win2 Dim300,1,0,0.9935,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win2 Dim300,2,14,0.9935,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win2 Dim300,3,2065,0.9893,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Stemmed Skipgram Win2 Dim300,4,1319,0.9891,İstinaf nedenleri; davacıların müteselsil sorumluluk kuralları uyarınca daha önce kazaya karışan araç sürücüsü ve işlete
Stemmed Skipgram Win2 Dim300,5,1379,0.9882,"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesi ile, 27/12/2015 tarihinde meydana gelen kazada davacıların murisi ...'in "
Stemmed Skipgram Win4 Dim100,1,0,0.9914,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win4 Dim100,2,14,0.9914,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win4 Dim100,3,2065,0.9901,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Stemmed Skipgram Win4 Dim100,4,1319,0.9875,İstinaf nedenleri; davacıların müteselsil sorumluluk kuralları uyarınca daha önce kazaya karışan araç sürücüsü ve işlete
Stemmed Skipgram Win4 Dim100,5,1450,0.9813,"GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile; zorunlu mali mesuliyet sigortası bulunmayan ... aracın, 22/07/201"
Stemmed Skipgram Win4 Dim300,1,0,0.9932,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win4 Dim300,2,14,0.9932,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Stemmed Skipgram Win4 Dim300,3,2065,0.9909,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Stemmed Skipgram Win4 Dim300,4,1319,0.9870,İstinaf nedenleri; davacıların müteselsil sorumluluk kuralları uyarınca daha önce kazaya karışan araç sürücüsü ve işlete
Stemmed Skipgram Win4 Dim300,5,1450,0.9833,"GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile; zorunlu mali mesuliyet sigortası bulunmayan ... aracın, 22/07/201"
