original_sentence,processed_tokens
"18/03/2018 tarihli bilirkişi raporunu sunan heyetten 120 günlük charge back süreleriyle ilgili değerlendirme yapılması istenmiş ve bilirkişiler tarafından düzenlenen 20/12/2018 tarihli ek raporda ise; davacıya ödenmeyen tutarların cahrg back süresi geçirilen işlemlere ait olduğu, davacının ağır ihmal göstererek zamanında itiraz ve uyarıda bulunmamakla kusurunun bulunduğu yolunda görüş belirtildiği görülmüştür.",tarihli bilirkiş rapor suna heyet günlük charge back süre ilgil değerlendirme yapılmas is bilirkişi taraf düzenlene tarihli rapor davacı ödenmeye tutar cahrg back süres geçirile işlem ait olduk davaç ağır ihmal göstererek zaman itiraz uyarı bulunmamak kusur bulunduk yol görüş belirtildik görül
"GEREKÇE: Dava, davacının kredi kartı hesabına borç olarak yansıtılan paralar nedeniyle davalıya borçlu olmadığının tespitine ve davacının kredi kartından çekildiği belirtilen tutarın tahsili istemine ilişkindir.",gerekçe dav davaç kredi kar hesap borç olarak yansıtıla para neden davalı borçlu olmadık tespit davaç kredi kart çekildik belirtile tutar tahsil istem ilişk
Davacı taraf davalıdan kredi kartı alıp kullanmaktadır.,davaç taraf davalı kredi kar alıp kullanmak
Dava konusu harcamalar Haziran 2014 ile Şubat 2015 tarihleri arasında gerçekleşmiştir.,dav konus harcama hazira şubat tarih ara gerçekleş
"Davacı taraf yapılan 27.585,90 TL'nin bilgisi ve rızası dışında olduğunu, bu tutarın 7.816,53 TL'lik kısmının ise banka tarafından iade edildiğini iddia ederek bakiye 19.769,73 TL'nin tahsilini istemiştir.",davaç taraf yapıla tlnin bilgis rızas dış olduk tutar tllik kısmı banka taraf ia edildik iddia ederek baki tlnin tahsil istemiş
"Davalı taraf ise davacının müracaatının zamanaşımına uğradığı gerekçesiyle ödeme yapmadığını, ayrıca müvekkiline yapılan usulsüz işlemlerden dolayı kusur yüklenemeyeceğini bildirerek davanın reddini istemiştir.",daval taraf davaç müracaat zamanaşım uğradık gerekçe öde yapmadık ayrıç müvekkil yapıla usulsüz işlem dola kusur yüklenemeyecek bildirerek dava reddi istemiş
Dava konusu işlemler 26/06/2014 tarihi ile 24/02/2015 tarihleri arasında gerçekleşmiştir.,dav konus işlem tarih tarih ara gerçekleş
"İstinaf aşamasında alınan bilirkişi raporunda da belirtildiği üzere dava konusu harcamaların yapıldığı tarihlerde davacının internet bankacılığını aktif olarak kullandığı, hesap ekstrelerini görüntülediği, borç bilgisini sorguladığı ve şube kanalıyla ödeme yaptığı tespit edilmiştir.",istinaf aşama alına bilirkiş rapor belirtildik üzer dav konus harcama yapıldık tarih davaç internet bankacılık aktif olarak kullandık hesap ekstre görüntüledik borç bilgi sorguladık şube kanal öde yaptık tespit edil
Bu itibarla davalı bankanın söz konusu harcamalarla ilgili davacıya iletimde bulunmamış olması sonuca etkili görülmemiştir.,itibar daval banka söz konus harcama ilgil davacı ilet bulunmamış olmas sonuç etkil görülmemiş
"Yine özellikle peş peşe 19 işlemin yapılması hususu dikkat çekici olup bankanın internet sisteminin güvenlik olarak bu noktada bir zaafının olduğu anlaşılmakta ise de, davacının kredi kartını aktif olarak kullanması ve 8 aylık süreçte birçok kez internet bankacılığı işlemi yapması, hesap ekstrelerini görüntülemesi, borç bilgilerini sorgulaması gözetildiğinde ve yine 120 günlük itiraz süresi içerisinde davacının davalı bankaya müracaat etmemesi dikkate alındığında, bu durum sonuca etkili görülmemiştir.",y özellik peş peş işle yapılmas husus dikkat çekiç olup banka internet sistem güvenlik olarak nokta bir zaaf olduk anlaşılmak davaç kredi kart aktif olarak kullanmas aylık süreç birçok internet bankacılık işle yapmas hesap ekstre görüntülemes borç bilgi sorgulamas gözetildik y günlük itiraz süres içeri davaç daval banka müracaat etmemes dikka alındık dur sonuç etkil görülmemiş
Dolayısıyla davacının bu davadaki talepleri dinlenebilir nitelikte değildir.,dolayı davaç dava talep dinlenebilir nitelik değil
"Nitekim Yargıtay 19.Hukuk Dairesi'nin 2016/1624 Esas 2016/8805 Karar , 2016/18121 Esas 2018/2498 Karar, 2016/150 Esas 2016/7697 Karar sayılı ilamları da bu yöndedir.",nitek yargıtay hukuk daire esas karar esas karar esas karar sayıl ilam yö
Açıklanan bu hususlar gözetildiğinde davanın reddi gerekirken yanılgılı değerlendirme sonucu yazılı şekilde karar verilmesi doğru değildir.,açıklana husus gözetildik dava redi gerekir yanılgıl değerlendirme sonuç yazıl şekil karar verilmes doğru değil
Hal böyle olunca davalı vekilinin istinaf talebinin kabulü gerekmiş ve aşağıdaki şekilde karar verilmiştir.,hal bö ol daval vekil istinaf talep kabulü gerek aşağı şekil karar veril
HÜKÜM: Yukarıda açıklanan nedenlerle; 1-Davalı vekilinin istinaf başvurusunun kabulü ile; Bursa 2.,hük yukarı açıklana nede daval vekil istinaf başvuru kabulü bur
"Asliye Ticaret Mahkemesi'nin 2015/607 Esas, 2016/1154 Karar sayılı kararının KALDIRILMASINA, 2-Davanın REDDİNE, 3-Alınması gereken 44,40 TL harcın, peşin alınan 337,62 TL harçtan mahsubu ile fazladan yatırılan 293,22 TL harcın talebi halinde davacıya iadesine, 4-Davacı tarafından ilk derece yargılamasında yapılan yargılama giderlerinin kendi üzerinde bırakılmasına, 5-İlk derece yargılaması yönünden davalı yararına Avukatlık Asgari Ücret Tarifesine göre belirlenen 2.725,00 TL vekalet ücretinin davacıdan alınarak davalıya verilmesine, 6-İstinaf peşin harcının talebi halinde davalıya iadesine, 7- İstinaf aşamasında davalı tarafından yapılan yargılama gideri olan 79,70 TL istinaf yoluna başvurma harcı, 206,20 TL posta ve tebligat gideri ile 1.400,00 TL bilirkişi ücreti olmak üzere toplam 1.685,90 TL'nin davacıdan alınarak davalıya verilmesine, 8-İstinaf incelemesi duruşmalı yapıldığından ve birden fazla duruşma icra edildiğinden davalı yararına Avukatlık Asgari Ücret Tarifesine göre belirlenen 2.725,00 TL vekalet ücretinin davacıdan alınarak davalıya verilmesine, 9-Gerek ilk derecede gerekse istinaf aşamasında yatırılan gider avanslarından kullanılmayan kısımların karar kesinleştiğinde yatıran tarafa iadesine, Dair, duruşmalı yapılan inceleme sonunda, oy birliğiyle kesin olarak karar verildi.30/01/2019",asli ticaret mahkeme esas karar sayıl karar kaldirilma dava reddi alınmas gereke harç peş alına harç mahsup fazla yatırıla harç talep hal davacı iade davaç taraf ilk dereç yargılama yapıla yargıla gider ke üzer bırakılma ilk dereç yargılamas yön daval yarar avukatlık asgari ücret tarife gör belirlene vekalet ücret davacı alınarak davalı verilme istinaf peş harcı talep hal davalı iade istinaf aşama daval taraf yapıla yargıla gider ola istinaf yol başvurma harcı pos tebligat gider bilirkiş ücret olmak üzer topla tlnin davacı alınarak davalı verilme istinaf incelemes duruşmal yapıldık bir faz duruşma icra edildik daval yarar avukatlık asgari ücret tarife gör belirlene vekalet ücret davacı alınarak davalı verilme gerek ilk derece gerek istinaf aşama yatırıla gider avans kullanılmaya kıs karar kesinleştik yatıra taraf iade dair duruşmal yapıla incele son birlik ke olarak karar veril
"G E R E Ğ İ   D Ü Ş Ü N Ü L D Ü:
Dairemiz önüne gelen uyuşmazlı, davalıya ait 2013/08220 nolu faydalı model belgesinin hükümsüzlüğüne dair Bakırköy 2.",daire ön gele uyuşmazlı davalı ait nol faydal model belge hükümsüzlük dair bakırköy
Fikri ve Sınai Haklar Hukuk Mahkemesi'nin 12/12/2016 tarih ve 2015/65 esas 2016/188 karar sayılı kararına karşı davalı vekilinin istinaf başvurusuna ilişkindir.,fikri sınai hak hukuk mahkeme tarih esas karar sayıl karar karşı daval vekil istinaf başvuru ilişk
"Davacı vekili dava dilekçesinde, ""davalı adına tescilli 2013/08220 no'lu ""Bir İçecek Kutusu Ambalajı"" buluş başlıklı  faydalı modelin  yenilik vasfına haiz  olmadığını, dava dışı  ... adına  kayıtlı  2011/05489 nolu  ""Üstten Kapaklı Jelatin"" adlı  incelemesiz patent ile ayırd edilemeyecek kadar  benzer olduğun, kaldı ki o buluşun dahi yeni olmadığını ve ...'ın  o buluşuyla ilgili Avusturya Patent  Ofisi tarafından yapılan incelemede  X, Y  ve A kategorisi değerlendirilmesi yapıldığını, aynı buluşla ilgili olarak WIPO nezdinde yapılan PCT  başvurusunun da X, A kategorisinde görüldüğünü, davalıya ait buluşun da yeniliğini kaldıran çok  sayıda döküman gösterildiğini, buluşun uzun yıllardır birçok ülkede kullanıldığını, kamuya sunulduğunu,"" iddia ile hükümsüzlüğünü ve sicilden terkinini istemiştir.",davaç vekil dav dilekçe daval ad tescilli nol bir içecek kutus ambalaj buluş başlıklı faydal model yenilik vasf haiz olmadık dav dış ad kayıtlı nol üst kapaklı jelat adlı incelemes patent ayırdı edilemeyecek kadar benzer olduk kal buluş dahi ye olmadık buluş ilgil avusturya patent ofis taraf yapıla inceleme kategoris değerlendirilmes yapıldık aynı buluş ilgil olarak wipo nezdi yapıla pct başvuru kategori görüldük davalı ait buluş yenilik kaldıra sayı döküma gösterildik buluş uz yıl birçok ülke kullanıldık kamu sunulduk iddia hükümsüzlük sicil terkin istemiş
"Davalı vekili cevabında, "" buluşun uzun süren AR-GE  çalışmaları sonucunda  ilk kez müvekkili tarafından yapıldığını, bu buluşun, içecek kutuları ile ilgili temizlik, bardaksız kullanım gibi konularda sorunları çözdüğünü"" savunarak davanın reddini istemiştir.",daval vekil cevap buluş uz süre arge çalışma sonuç ilk müvekkil taraf yapıldık buluş içecek kutu ilgil temizlik bardaksız kulla konu sorun çözdük savunarak dava reddi istemiş
"Mahkeme, 2 hukukçu bilirkişi ile bir ambalaj sektörü bilirkişiden oluşan bir heyet oluşturarak  dava konusu bir  faydalı model olduğu halde, faydalı modellerde  buluş basamağı koşulu bulunmadığı halde bu hususu da kapsayacak şekilde bilirkişi incelemesi yaptırmış bilirkişi raporu almıştır.",mahke hukukçu bilirkiş bir ambalaj sektör bilirkişi oluşa bir heyet oluşturarak dav konus bir faydal model olduk halde faydal model buluş basamak koşul bulunmadık halde husus kapsayacak şekil bilirkiş incelemes yaptır bilirkiş rapor al
"9 sayfalık  raporun ilk 6 sayfası davanın özetine, 1,5 sayfası faydalı model ile ilgili teorik açıklamalara ilişkindir.",sayfalık rapor ilk sayfas dava özet sayfas faydal model ilgil teorik açıklama ilişk
"Raporun 8. sayfasında hangi patent ya da faydalı model  olduğu belli olmayan ve "" daha önce piyasaya sunulduğu iddia edilen ürün""  diye adlandırılan  bir buluş belgesinin istemleri ve dava konusu buluşun istemleri yan yana çizelge halinde gösterilmiş ve 9. sayfadaki 7 satırlık değerlendirme bölümünde ise gene  somut bir patent, faydalı model veya döküman bilgisi verilmeden  eğer yenilik yok ise neye göre yok  olduğu, yeniliği yok edici dökümanın ne olduğu,  hangi tarihli olduğu belirtilmeden, hiç bir inceleme yapılmadan, son derece soyut ve yüzeysel biçimde ""daha önce piyasaya sunulduğu iddia edilen  dava dışı kişiye ait  buluş ile sunulan başvurularda yer alan buluş karşılaştırıldığında, davalı yan  adına TPE nezdinde  09/22(?",rapor sayfa hangi patent faydal model olduk belli olmaya ö piyasa sunulduk iddia edile ür adlandırıla bir buluş belge istem dav konus buluş istem yan ya çizelge hal gösteril sayfa satırlık değerlendirme bölüm ge somut bir patent faydal model döküma bilgis verilme yenilik yok ne gör yok olduk yenilik yok ediç döküma olduk hangi tarihli olduk belirtilme bir incele yapılma son dereç soyut yüzeysel biç ö piyasa sunulduk iddia edile dav dış kişi ait buluş sunula başvuru yer ala buluş karşılaştırıldık daval yan ad tpe nezdi
")/2014  tarih ve  2013/08220 numara ile  faydalı model belgesine bağlanan "" üstten kapaklı jelatin""  isimli buluş  ile ayırd edilemeyecek kadar benzer bulunduğu ve bu ürünün davalı yanın başvuru tarihinden önce  2011 yılında dava dışı ...  tarafından kamuya sunulduğu tespit edilmektedir"" biçiminde  görüş açıklandığı görülmektedir.",tarih numar faydal model belge bağlana üst kapaklı jelat isimli buluş ayırdı edilemeyecek kadar benzer bulunduk ür daval ya başvur tarih ö yıl dav dış taraf kamu sunulduk tespit edilmek biçim görüş açıklandık görülmek
"Davalı vekili bu rapora itirazda bulunarak yeni bir bilirkişi heyetinden rapor alınmasını istemiş ancak mahkeme bu talebi  reddederek  davayı sonlandırmış ve "" davanın kabulüne, dava konusu  2013/08220 nolu faydalı modelin hükümsüzlüğüne "" karar vermiştir.",daval vekil rapor itiraz bulunarak ye bir bilirkiş heyet rapor alınma istemiş ancak mahke talep reddederek dava sonlandır dava kabul dav konus nol faydal model hükümsüzlük karar ver
"12/12/2016 tarihli mahkeme kararının gerekçesi, ""davalının buluşunun dava dışı ... adına TPE 'de tescilli 2011/05489 no'lu incelemesiz patent ile ayırd edilemeyecek  derecede benzer bulunduğu, bu ürünün davalının başvuru tarihinden önce 2011 yılında  kamuya  sunulduğu, bu nedenle faydalı modelin yenilik özelliğinin kalktığı "" biçimindedir.",tarihli mahke karar gerekçes daval buluş dav dış ad tpe tescilli nol incelemes patent ayırdı edilemeyecek derece benzer bulunduk ür daval başvur tarih ö yıl kamu sunulduk nede faydal model yenilik özellik kalktık biçim
"Bu karara karşı, davalı vekili süresi içinde  istinaf başvurusunda bulunmuş ve "" dava konusu buluşun ...'a ait buluşla bir ilgisinin bulunmadığını, hükme esas alınan bilirkişi raporunun eksik ve  kendi içinde çelişkili  olması nedeniyle itiraz etmelerine rağmen, itirazları dikkate alınmadan karar verildiğini, itirazlarına ilişkin ek rapor dahi alınmadığını,"" belirterek ilk derece mahkemesi kararının kaldırılmasını ve talebi doğrultusunda karar verilmesini istemiştir.",karar karşı daval vekil süres iç istinaf başvuru bul dav konus buluş ait buluş bir ilgi bulunmadık hükme esas alına bilirkiş rapor eksik ke iç çelişkil olmas neden itiraz etme rağme itiraz dikka alınma karar verildik itiraz ilişk rapor dahi alınmadık belirterek ilk dereç mahkemes karar kaldırılma talep doğrultu karar verilme istemiş
"Davacı vekili istinafa cevabında, "" dava  konusu buluş ile dava dışı ...'a  ait buluşun ayırd edilemeyecek kadar benzer olduğunu, bilirkişi raporunun yeterli, kararın da isabetli  olduğunu"" savunarak  istinaf başvurusunun reddini istemiştir.",davaç vekil istinaf cevap dav konus buluş dav dış ait buluş ayırdı edilemeyecek kadar benzer olduk bilirkiş rapor yeterli karar isabetli olduk savunarak istinaf başvuru reddi istemiş
"İstinaf incelemesini yeni bir bilirkişi incelemesi yapılarak duruşmalı gerçekleştirilmesine karar verilmiş ve oluşturulan bilirkişi heyetinden, dava konusu 2013/08220 sayılı FM belgesinin yeni olup olmadığı hususunda rapor alınmıştır.",istinaf inceleme ye bir bilirkiş incelemes yapılarak duruşmal gerçekleştirilme karar veril oluşturula bilirkiş heyet dav konus sayıl belge ye olup olmadık husu rapor al
"Alınan 23.06.2018 tarihli bilirkişi raporunda, ""FR 2847556, WO / 1995 028328 ve US 3438533 sayılı dökümanlarda, dava konusu FM'deki hijyenik kapaklı içecek kutusunun kullanıldığı, her üç dökümanın da başvuru tarihinin dava konusu FM'den çok daha eski olduğu, FM'ye konu buluşun başvuru tarihi itibariyle yeni olmadığı, dolayısıyla ilk derece mahkemesi kararının isabetli olduğu anlaşılmakla, istinaf isteminin reddi gerekmiştir.",alına tarihli bilirkiş rapor sayıl döküman dav konus fmdek hijyenik kapaklı içecek kutu kullanıldık döküma başvur tarih dav konus fmden eski olduk fmye ko buluş başvur tarih itibar ye olmadık dolayı ilk dereç mahkemes karar isabetli olduk anlaşılmak istinaf istem redi gerek
"H Ü K Ü M    : Yukarıda açıklanan gerekçe ile:
1-6100 sayılı HMK.",yukarı açıklana gerekçe sayıl hmk
"'nın 353/1-b-1 maddesi gereğince davalı vekilinin yerinde görülmeyen istinaf isteminin ESASTAN REDDİNE,
2-Alınması gereken 35,90 TL harçtan, peşin alınan 29,20 TL harçtan mahsubu ile bakiye 6,70 TL eksik harcın davalıdan alınarak hazineye irat kaydına,
3-İstinaf incelemesi duruşmalı yapıldığından ve yapılan celse sayısı da dikkate alındığında, 2.180,00 TL vekalet ücretinin davalıdan alınarak, kendini vekil ile temsil ettiren davacı tarafa verilmesine,
4-İstinaf yargılama giderlerinin davalı üzerinde bırakılmasına,
5-Artan gider avanslarının karar kesinleştiğinde ve talep halinde taraflara iadesine,
dair, dosya üzerinde yapılan inceleme sonucunda iş bu kararın tebliğinden itibaren 2 hafta içinde Yargıtay temyiz yolu açık olmak üzere 26/09/2018 tarihinde oy birliği ile karar verildi.",nın maddes gerek daval vekil yer görülmeye istinaf istem esas reddi alınmas gereke harç peş alına harç mahsup baki eksik harç davalı alınarak hazine irat kaydı istinaf incelemes duruşmal yapıldık yapıla cel sayıs dikka alındık vekalet ücret davalı alınarak kendi vekil temsil ettire davaç taraf verilme istinaf yargıla gider daval üzer bırakılma ar gider avans karar kesinleştik talep hal taraf iade dair dosya üzer yapıla incele sonuç karar teblik itibare haf iç yargıtay temyiz yol açık olmak üzer tarih birlik karar veril
"GEREĞİ DÜŞÜNÜLDÜ:
Davacılar vekili dava dilekçesi ile; zorunlu mali mesuliyet sigortası bulunmayan ... aracın, 22/07/2014 tarihinde sürücü ...'ün sevk ve  idaresinde iken meydana gelen kazada araçta yolcu olarak bulunan davacıların desteği ...'in vefat ettiğini, kazanın oluşumunda araçta yolcu olarak bulunan davacıların desteğinin herhangi bir kusurunun bulunmadığını, kaza sonrasında davalı ... Hesabına yapılan başvuru üzerine bir miktar ödeme yapıldığını ancak yapılan ödemenin davacıların zararını karşılamadığını belirterek fazlaya ilişkin hakları saklı kalmak kaydı ile şimdilik davacı eş ... için 1.000,00-TL, davacı çocuk .... için 1.000,00-TL olmak üzere toplam 2.000,00-TL destekten yoksunluk tazminatının davalı ... Hesabından tahsiline karar verilmesini talep etmiş, 06.02.2017 tarihli ıslah dilekçesi ile talebini davacı ...için 117.879,35-TL, davacı .... için 53.316,93-TL olmak üzere toplam 171.196,28-TL'ye yükseltmiştir.",gerek düşünül davacı vekil dav dilekçes zorunlu mali mesuliyet sigortas bulunmaya araç tarih sürüç sevk idare ike meyda gele kaza araç yolcu olarak buluna davaç destek vefat ettik kaza oluşum araç yolcu olarak buluna davaç destek herhangi bir kusur bulunmadık kaz sonra daval hesap yapıla başvur üzer bir miktar öde yapıldık ancak yapıla ödeme davaç zarar karşılamadık belirterek fazla ilişk hak saklı kalmak ka şimdilik davaç davaç çocuk olmak üzer topla destek yoksunluk tazminat daval hesap tahsil karar verilme talep et tarihli ıslah dilekçes talep davaç davaç olmak üzer topla tlye yükseltmiş
"Davalı vekili cevap dilekçesi ile; ... Yönetmeliğinin 15. maddesi uyarınca davacılara yapılan ödeme ile hesabın borçtan ve yükümlülükten kurtulduğunu,  davacılara 14/05/2015 tarihinde 71.916,00-TL destekten yoksun kalma tazminatı ödendiğini  ve davacı tarafından imzalanan ibraname ile kurumlarının sorumluluğunun ortadan kalktığını, müvekkilleri kurumun zorunlu mali mesuliyet sigortası teminat limitleri ve kusur oranı ile sınırlı sorumlu olduğunu, kazazedenin de olayın gerçekleşmesindeki kusuru oranında tazminattan indirim yapılması gerektiğini, bu nedenle kusur yönünden Adli Tıp Kurumu İhtisas Dairesi nezdinde inceleme yapılmasını talep ettiklerini belirterek davanın reddine karar verilmesini istemiştir.",daval vekil cevap dilekçes yönetmelik maddes uyar davacı yapıla öde hesap borç yükümlülük kurtulduk davacı tarih destek yok kalma tazminat ödendik davaç taraf imzalana ibrana kurum sorumluluk orta kalktık müvekkil kur zorunlu mali mesuliyet sigortas teminat limit kusur ora sınırlı sorumlu olduk kazazede olay gerçekleşmes kusur oran tazminat indir yapılmas gerektik nede kusur yön adli tıp kur ihtisas daires nezdi incele yapılma talep ettik belirterek dava reddi karar verilme istemiş
